SA (m2/g),Dav (nm),VTot (cm3/g),C (wt%),O/C,(O+N)/C,pH,T (K),C0 (mg/L),SLR (g/L),Qe (mg/g)
173.07,17.38,0.667,60.12,0.25,0.537,6.055,297.06,73.39,3.14,57.302
34.34,15.53,0.518,66.36,0.174,0.332,4.745,289.36,234.83,1.765,41.543
196.21,25.55,0.55,46.75,0.179,0.33,5.358,302.59,188.82,1.126,65.809
191.16,21.04,0.53,53.22,0.465,0.507,3.591,292.92,55.57,0.684,48.086
89.07,16.31,0.648,31.28,0.365,0.562,6.019,299.84,64.15,3.051,53.209
109.86,19.08,0.669,71.7,0.235,0.454,3.513,300.55,239.49,1.482,34.828
228.51,14.57,0.482,51.02,0.372,0.511,3.61,297.94,22.44,1.89,44.282
313.22,13.41,0.482,50.72,0.187,0.501,8.559,301.38,167.05,1.991,62.595
203.94,15.29,0.548,56.24,0.244,0.489,8.59,288.21,13.64,0.65,42.666
183.63,15.89,0.58,52.28,0.447,0.209,5.694,298.33,60.35,2.39,71.328
263.16,13.0,0.71,65.72,0.055,0.437,9.195,309.29,73.49,1.513,41.168
223.31,23.43,0.64,51.17,0.319,0.216,8.447,303.23,87.6,1.101,62.302
87.58,22.92,0.456,72.45,0.511,0.51,4.555,283.0,45.3,0.941,49.805
90.17,20.93,0.602,55.83,0.376,0.755,6.391,296.75,134.67,3.835,65.098
251.47,20.27,0.366,36.38,0.362,0.267,3.833,313.0,41.3,1.311,52.367
174.15,20.79,0.566,54.76,0.425,0.412,5.072,293.27,62.88,2.698,58.492
189.5,15.11,0.532,68.07,0.483,0.446,8.109,313.0,26.44,7.921,53.935
463.01,14.27,0.531,51.15,0.134,0.399,9.096,299.25,33.35,1.814,60.884
147.92,16.71,0.494,81.62,0.265,0.618,6.416,289.08,194.5,1.033,65.741
61.58,26.91,0.451,48.55,0.531,0.664,5.891,295.43,79.87,2.806,62.896
237.9,17.38,0.46,61.38,0.105,0.123,7.173,293.38,80.31,1.52,66.447
108.45,18.75,0.515,41.15,0.415,0.12,6.251,306.16,7.28,3.366,50.898
167.88,18.49,0.616,77.41,0.348,0.437,3.524,302.3,36.81,2.14,35.909
234.17,19.82,0.514,53.72,0.221,0.247,2.371,300.18,126.55,1.423,52.222
296.13,14.93,0.537,61.29,0.483,0.588,10.0,300.7,250.0,2.545,61.034
173.62,21.36,0.519,51.58,0.289,0.625,4.078,304.85,93.23,7.289,37.97
244.1,23.03,0.583,56.7,0.271,0.341,6.566,300.89,113.54,3.12,71.255
392.3,14.09,0.454,50.72,0.285,0.721,6.114,289.68,34.76,1.702,85.935
123.23,17.09,0.497,45.84,0.297,0.312,6.556,295.94,146.11,2.434,66.116
103.65,19.76,0.537,61.02,0.323,0.607,3.953,296.74,109.09,1.752,36.549
640.82,10.12,0.468,42.98,0.194,0.616,4.64,295.71,117.96,1.534,93.817
62.46,20.08,0.56,40.12,0.104,0.592,6.61,299.53,103.13,1.563,52.874
719.81,13.54,0.377,52.63,0.395,0.392,8.49,304.16,13.45,2.796,90.688
97.23,20.2,0.534,57.87,0.306,0.525,6.088,294.59,55.72,7.241,56.694
254.77,17.78,0.394,60.58,0.235,0.331,5.664,306.33,26.04,3.592,60.821
127.04,20.76,0.523,81.07,0.238,0.172,4.92,301.97,249.77,0.863,54.387
194.65,17.39,0.439,59.22,0.276,0.278,9.378,295.75,18.1,2.564,30.018
478.75,15.78,0.483,41.39,0.449,0.674,9.053,309.28,158.56,1.29,94.536
53.63,19.4,0.558,53.4,0.292,0.505,5.322,294.59,97.62,2.833,46.768
101.83,16.7,0.539,53.27,0.521,0.293,7.798,288.64,232.4,1.48,60.964
31.77,14.47,0.642,63.15,0.174,0.485,5.775,297.56,77.93,3.625,48.404
205.58,23.41,0.501,61.31,0.539,0.569,9.851,291.53,34.22,1.118,46.986
311.98,23.48,0.494,64.04,0.444,0.639,4.873,286.61,46.1,3.444,69.426
223.33,17.01,0.522,59.12,0.309,0.172,4.078,289.18,18.3,2.241,41.718
850.41,11.77,0.176,64.42,0.372,0.665,7.348,299.35,26.58,6.081,103.432
92.69,12.88,0.549,72.81,0.323,0.21,5.843,301.08,85.68,0.909,60.154
64.54,16.73,0.561,44.55,0.229,0.409,4.56,299.07,24.25,6.382,26.09
132.44,20.47,0.484,72.87,0.221,0.247,5.202,306.14,158.12,7.583,50.648
397.49,13.39,0.464,48.95,0.227,0.552,10.0,287.84,10.96,1.801,47.953
185.72,18.51,0.557,26.67,0.304,0.716,5.167,296.53,24.07,1.835,52.308
510.11,16.95,0.398,63.0,0.24,0.524,4.04,287.95,50.19,1.057,75.88
237.66,15.66,0.569,37.91,0.207,0.629,5.888,303.22,34.42,3.419,63.434
344.81,12.23,0.437,62.3,0.119,0.249,5.546,297.31,121.05,1.465,77.506
998.35,9.15,0.337,67.1,0.2,0.256,6.771,303.35,67.71,2.689,109.318
950.47,8.8,0.268,60.41,0.321,0.644,2.049,291.36,131.7,0.928,93.197
523.6,14.46,0.467,74.3,0.267,0.571,7.98,303.62,250.0,1.527,97.572
231.85,14.65,0.404,44.49,0.316,0.298,7.014,290.5,57.14,4.547,67.78
91.91,18.56,0.598,56.59,0.285,0.61,6.218,311.01,25.88,1.552,54.766
220.43,19.02,0.614,25.0,0.602,0.326,5.767,290.33,250.0,1.862,85.468
436.15,16.53,0.483,79.09,0.208,0.466,5.051,296.78,29.37,0.927,69.859
858.78,9.03,0.397,43.73,0.05,0.428,6.12,301.13,35.61,1.277,95.413
179.28,23.3,0.505,53.56,0.135,0.555,5.127,309.64,71.24,3.643,49.464
147.22,17.33,0.495,72.63,0.339,0.1,10.0,303.32,35.9,1.646,31.302
173.97,20.49,0.539,69.1,0.205,0.837,9.035,292.74,250.0,2.354,40.438
121.02,12.89,0.589,59.35,0.217,0.453,9.344,295.38,74.2,4.979,30.626
202.21,17.75,0.509,50.04,0.339,0.138,5.749,304.08,49.11,1.878,69.583
164.66,25.15,0.602,50.21,0.302,0.6,4.049,300.12,250.0,2.175,53.852
336.76,15.83,0.595,53.88,0.248,0.357,4.586,301.02,25.0,1.394,60.061
510.21,17.89,0.416,67.73,0.375,0.374,6.635,306.39,173.79,2.167,109.956
554.58,14.27,0.507,42.11,0.282,0.645,5.312,299.76,22.71,2.965,88.321
416.26,14.5,0.526,34.42,0.515,0.251,6.396,293.51,111.77,1.151,108.294
262.07,16.34,0.461,50.01,0.289,0.217,5.529,297.88,50.78,4.457,71.046
76.47,18.7,0.387,54.16,0.269,0.306,6.934,289.67,105.66,0.8,63.386
114.42,17.67,0.393,59.98,0.15,0.642,8.381,299.07,53.04,2.004,39.732
270.43,18.44,0.468,70.37,0.321,0.426,4.199,291.87,113.21,2.869,59.372
203.86,20.49,0.528,44.14,0.456,0.288,5.014,292.65,90.01,2.284,67.124
144.94,20.01,0.46,54.47,0.229,0.613,7.544,290.08,23.44,6.048,44.051
144.06,13.51,0.415,61.59,0.167,0.298,4.83,303.33,218.49,0.791,48.847
159.47,14.85,0.57,38.2,0.441,0.508,7.881,296.63,245.84,2.93,68.905
108.99,17.45,0.681,37.59,0.194,0.65,10.0,299.02,129.7,2.212,32.963
325.91,18.28,0.629,73.17,0.372,0.402,9.452,295.22,76.4,2.219,57.021
257.22,15.49,0.489,57.46,0.378,0.769,6.809,306.24,114.93,1.116,83.827
68.38,14.28,0.528,45.43,0.379,0.211,8.222,300.6,41.91,1.405,46.212
22.11,18.87,0.786,35.59,0.256,0.539,6.279,303.85,79.63,1.87,55.826
131.91,19.37,0.608,50.41,0.307,0.529,7.552,307.04,250.0,2.886,64.293
36.14,25.37,0.753,59.69,0.156,0.544,6.024,303.22,94.18,1.155,46.798
100.59,24.76,0.595,47.27,0.286,0.43,6.621,289.33,34.04,3.26,54.163
287.84,19.31,0.481,66.85,0.417,0.223,8.846,301.31,65.19,2.482,60.65
279.55,14.98,0.441,66.09,0.373,0.284,6.465,300.92,34.17,1.093,78.006
528.2,18.1,0.558,62.29,0.436,0.675,8.928,284.01,250.0,0.788,93.764
308.74,18.68,0.421,61.3,0.26,0.425,3.645,306.82,75.29,6.457,56.33
283.17,21.87,0.567,42.35,0.275,0.43,9.148,295.78,42.96,1.076,51.883
504.95,20.81,0.387,60.93,0.461,0.44,6.913,309.4,13.91,1.764,92.371
193.0,20.38,0.455,77.24,0.449,0.654,8.672,304.46,39.89,2.184,45.083
122.15,17.33,0.477,65.64,0.32,0.571,8.887,299.8,39.13,2.515,36.016
98.99,16.94,0.544,61.39,0.481,0.507,9.039,304.54,31.51,1.807,38.331
545.89,15.11,0.516,57.18,0.36,0.321,8.627,300.94,16.71,2.302,74.879
140.57,17.54,0.674,53.71,0.167,0.431,3.873,295.98,102.44,1.715,41.968
185.59,17.59,0.592,40.24,0.293,0.373,7.132,298.04,99.65,1.172,68.912
133.7,16.6,0.62,50.47,0.295,0.344,2.956,296.05,10.65,3.006,24.472
271.55,17.15,0.466,45.7,0.446,0.165,8.832,296.49,86.61,1.492,61.869
359.27,19.43,0.531,57.83,0.321,0.525,3.522,298.47,49.87,3.472,56.452
207.72,19.68,0.363,53.63,0.283,0.1,5.644,307.61,250.0,1.769,74.459
272.78,12.16,0.56,61.39,0.389,0.528,6.352,292.19,32.53,2.361,71.035
293.0,17.86,0.421,59.57,0.47,0.85,5.6,289.77,50.88,1.48,81.185
539.04,14.26,0.419,42.01,0.341,0.35,9.908,304.87,142.73,1.267,86.961
81.04,17.93,0.596,62.17,0.412,0.452,5.388,299.73,107.88,0.63,58.877
110.44,16.82,0.567,51.0,0.245,0.398,8.727,300.61,121.55,2.744,45.179
159.89,19.2,0.547,41.05,0.364,0.395,4.466,299.35,94.13,1.79,53.028
95.69,20.65,0.582,47.27,0.238,0.384,6.31,305.06,95.3,3.048,63.679
284.59,17.11,0.399,50.06,0.343,0.193,10.0,294.88,57.76,1.798,55.29
140.17,22.3,0.525,57.83,0.323,0.424,6.016,306.42,105.15,3.217,67.994
222.58,16.26,0.617,52.71,0.237,0.539,4.635,294.06,15.52,1.9,47.596
158.75,21.53,0.632,52.11,0.231,0.499,7.035,291.54,82.44,3.65,58.251
508.61,16.2,0.424,52.94,0.25,0.745,3.76,295.66,250.0,4.315,82.914
203.57,18.31,0.537,63.66,0.178,0.289,6.118,293.73,39.5,0.883,59.348
214.5,17.77,0.562,76.29,0.538,0.542,6.83,294.0,41.89,1.724,73.537
633.72,11.75,0.439,77.08,0.355,0.536,5.422,299.31,64.26,1.251,103.134
392.39,15.89,0.258,61.92,0.409,0.229,3.559,296.12,55.98,1.005,70.79
72.12,16.94,0.6,68.0,0.455,0.1,7.273,284.8,97.16,1.592,64.508
66.23,20.05,0.521,46.82,0.385,0.469,5.04,295.99,33.02,3.622,43.753
217.19,18.31,0.438,62.69,0.349,0.335,3.165,303.46,87.98,2.969,48.758
676.32,14.17,0.519,59.92,0.318,0.705,3.087,309.17,42.42,1.986,83.851
187.41,20.52,0.563,59.14,0.157,0.178,7.797,296.47,21.86,1.688,48.671
311.5,18.48,0.589,70.11,0.139,0.411,6.17,301.38,159.54,6.177,76.227
202.7,16.13,0.515,58.17,0.269,0.655,7.026,297.72,76.6,2.215,59.338
91.86,15.24,0.499,40.73,0.349,0.31,6.14,296.79,50.12,2.137,63.139
157.46,18.06,0.607,55.7,0.281,0.338,6.009,291.9,15.36,4.595,52.744
150.62,16.32,0.541,68.63,0.355,0.536,4.174,299.11,14.61,4.48,25.832
220.87,15.7,0.413,35.98,0.35,0.341,3.033,307.09,41.0,4.219,45.669
328.11,18.81,0.616,60.98,0.37,0.1,4.012,293.47,39.57,3.22,52.215
103.57,14.91,0.51,59.02,0.236,0.747,4.038,298.24,18.96,1.115,27.991
87.08,21.88,0.409,50.08,0.386,0.548,7.636,288.8,147.06,1.115,64.04
65.96,19.7,0.688,69.39,0.225,0.776,2.0,296.09,198.15,3.019,29.461
203.29,18.59,0.631,60.35,0.435,0.36,7.245,287.05,82.11,4.411,69.692
364.13,17.13,0.575,82.28,0.254,0.212,2.593,299.57,21.54,1.677,43.64
307.92,19.51,0.431,46.54,0.361,0.416,7.179,296.43,56.85,3.205,82.147
116.58,13.55,0.555,70.82,0.65,0.124,6.059,301.44,53.28,3.705,65.786
173.89,22.51,0.562,59.51,0.254,0.123,8.219,299.47,99.3,0.945,52.394
55.22,14.91,0.658,36.48,0.352,0.365,7.529,285.42,101.38,1.157,58.242
388.79,21.77,0.462,65.72,0.232,0.246,4.818,297.73,127.09,10.0,73.014
142.78,15.31,0.49,61.26,0.261,0.61,8.377,308.62,23.49,5.434,36.465
259.12,18.96,0.556,50.04,0.287,0.521,2.0,295.9,38.06,2.12,42.024
106.31,20.9,0.504,41.13,0.435,0.664,5.301,305.35,126.57,1.463,63.706
45.65,26.31,0.576,51.3,0.401,0.226,5.621,299.19,46.15,1.78,56.11
117.72,17.85,0.519,63.9,0.294,0.475,5.575,303.07,19.78,5.034,45.546
190.82,19.05,0.43,42.1,0.243,0.632,4.84,301.76,44.6,0.454,54.311
155.0,16.47,0.516,69.04,0.248,0.459,8.417,292.67,9.43,1.365,30.447
155.57,13.76,0.499,45.42,0.167,0.299,7.058,302.94,79.97,2.864,62.044
68.89,17.89,0.501,55.26,0.251,0.262,7.328,300.48,61.24,1.733,53.991
42.13,24.61,0.697,64.35,0.239,0.333,8.318,309.53,27.21,1.214,37.582
246.84,13.59,0.593,43.96,0.306,0.367,5.959,305.48,86.06,1.245,78.975
68.39,21.43,0.471,50.5,0.345,0.526,6.899,298.03,81.8,0.483,63.388
132.53,14.23,0.541,55.56,0.598,0.533,10.0,298.63,70.86,5.051,42.268
267.11,17.36,0.377,49.85,0.196,0.413,7.375,297.0,34.28,6.122,59.621
454.45,12.24,0.399,40.13,0.279,0.537,5.294,300.42,95.14,3.656,90.53
82.57,21.92,0.487,41.86,0.383,0.207,6.463,305.12,56.18,3.951,58.029
1000.0,7.42,0.269,66.41,0.318,0.634,6.941,295.48,103.08,1.905,114.172
176.98,20.53,0.485,42.28,0.39,0.375,5.916,288.29,31.41,1.424,74.328
623.75,13.9,0.404,47.15,0.348,0.635,3.884,293.64,45.69,1.601,85.198
411.52,14.38,0.425,55.31,0.287,0.692,8.102,296.81,63.43,2.784,77.666
113.3,21.14,0.565,38.71,0.201,0.555,7.486,305.23,58.97,1.423,57.34
213.6,23.17,0.475,67.17,0.497,0.1,4.067,300.83,46.96,0.559,57.085
311.79,18.05,0.52,50.78,0.1,0.457,8.086,303.23,134.63,4.915,65.588
1000.0,7.4,0.268,62.03,0.105,0.415,8.374,290.82,105.55,0.864,93.145
490.87,20.96,0.376,61.25,0.05,0.34,7.25,288.86,24.32,0.716,78.736
258.83,14.95,0.495,80.79,0.231,0.231,4.441,295.51,10.84,0.998,44.441
338.09,14.59,0.494,64.63,0.251,0.455,7.05,311.87,73.63,2.048,89.682
474.91,16.73,0.402,35.9,0.284,0.384,9.163,300.52,80.52,1.311,79.215
51.88,20.26,0.515,66.81,0.46,0.658,4.199,293.58,227.73,3.099,46.409
333.64,13.67,0.472,49.39,0.317,0.406,6.292,297.73,117.6,1.102,91.992
232.17,17.78,0.397,67.92,0.435,0.646,4.719,303.8,60.88,1.261,60.539
105.97,21.16,0.542,28.38,0.393,0.5,4.818,304.32,62.28,5.06,46.541
327.18,18.63,0.546,67.35,0.377,0.408,6.702,296.42,32.4,4.289,74.227
761.02,14.73,0.439,50.58,0.525,0.1,6.792,301.4,37.58,0.895,122.058
44.85,20.49,0.549,66.08,0.449,0.38,9.263,289.06,82.59,5.26,30.845
190.54,16.36,0.475,63.86,0.377,0.378,3.242,300.05,64.65,6.011,40.472
68.27,18.08,0.64,26.86,0.493,0.393,5.599,307.09,250.0,1.644,70.982
172.9,22.51,0.579,59.32,0.556,0.593,10.0,303.97,39.09,1.828,44.086
228.05,19.62,0.588,50.85,0.195,0.571,5.495,297.12,71.73,4.985,60.602
100.05,17.97,0.472,43.45,0.4,0.443,7.458,295.72,93.46,2.424,59.108
399.63,17.39,0.352,43.45,0.359,0.46,7.685,309.06,169.07,2.557,88.422
435.15,14.1,0.489,48.3,0.214,0.207,7.334,301.85,51.12,0.945,88.823
276.86,18.83,0.682,51.86,0.213,0.127,6.554,302.19,10.13,3.89,59.122
200.57,15.53,0.444,66.3,0.545,0.498,7.456,285.57,13.08,7.064,56.357
425.2,14.43,0.469,61.68,0.333,0.616,8.933,298.39,112.91,0.824,78.774
83.93,20.52,0.564,59.19,0.239,0.244,5.845,300.97,75.0,9.916,52.919
83.9,17.44,0.695,64.41,0.076,0.418,4.377,298.68,211.82,2.77,39.401
56.88,20.13,0.616,63.19,0.397,0.451,3.897,300.58,144.64,6.338,39.136
97.66,11.55,0.414,43.17,0.19,0.328,7.705,301.06,46.45,1.208,49.021
361.07,16.99,0.526,47.83,0.251,0.23,8.107,291.01,173.38,2.609,71.348
140.73,24.05,0.605,34.36,0.422,0.299,8.789,294.36,51.23,4.714,40.734
121.24,14.58,0.424,69.61,0.314,0.432,4.433,289.72,58.52,4.23,36.995
130.67,17.72,0.518,68.84,0.288,0.461,8.058,299.45,250.0,1.604,60.823
489.14,15.3,0.506,56.86,0.359,0.792,5.512,306.14,30.39,1.142,93.364
252.66,11.64,0.584,62.7,0.186,0.494,6.861,290.25,250.0,1.19,76.915
199.88,16.86,0.691,50.0,0.305,0.47,6.648,294.9,28.31,4.265,61.15
371.71,15.1,0.457,56.98,0.36,0.18,3.765,303.97,124.85,1.881,75.056
171.96,20.5,0.452,65.46,0.298,0.232,6.692,297.78,227.83,1.219,72.133
450.55,12.31,0.461,49.89,0.315,0.549,4.793,294.18,75.92,1.631,82.989
116.73,21.66,0.592,61.89,0.562,0.297,4.028,298.68,20.04,0.811,36.314
210.64,19.12,0.508,37.03,0.418,0.267,6.511,288.93,29.48,4.552,62.364
177.1,16.09,0.648,39.8,0.353,0.414,6.036,289.58,33.14,2.059,60.753
109.88,24.06,0.577,67.42,0.489,0.564,5.797,301.06,48.1,1.234,63.39
299.74,19.99,0.543,58.67,0.404,0.252,6.022,296.62,150.22,1.926,87.469
97.48,16.71,0.495,43.84,0.393,0.528,2.91,299.89,37.15,0.772,31.982
240.47,15.17,0.537,37.7,0.282,0.628,7.707,289.63,64.2,1.747,60.348
53.67,20.79,0.603,51.62,0.153,0.723,2.0,297.15,179.43,1.581,34.861
128.74,15.76,0.689,44.16,0.297,0.301,5.624,297.51,116.52,2.343,57.61
221.28,23.3,0.577,49.83,0.28,0.384,6.955,293.22,250.0,2.017,79.686
307.71,17.83,0.573,61.26,0.422,0.632,4.312,297.06,69.93,2.147,63.663
57.17,17.59,0.69,31.0,0.395,0.386,7.581,297.37,36.87,3.233,45.531
407.03,15.96,0.389,77.81,0.359,0.64,9.544,295.66,175.75,4.569,71.172
188.45,15.28,0.631,71.42,0.364,0.577,4.652,303.06,103.4,1.061,55.35
138.79,16.23,0.607,50.36,0.328,0.261,4.663,293.6,77.39,2.512,50.383
137.21,15.63,0.608,52.51,0.091,0.346,4.969,304.67,68.92,0.737,47.674
430.48,15.49,0.422,46.49,0.292,0.51,7.286,288.28,155.33,1.424,93.768
799.53,14.05,0.452,71.21,0.254,0.542,5.681,293.99,88.25,0.391,102.167
68.26,21.99,0.636,48.32,0.425,0.212,6.367,300.23,139.86,1.722,64.408
366.51,15.85,0.498,39.24,0.335,0.249,8.795,293.35,160.24,5.727,70.917
94.99,23.66,0.635,60.94,0.187,0.638,3.952,289.65,14.97,1.309,23.585
113.72,20.0,0.454,52.27,0.126,0.51,7.692,294.78,45.95,1.89,41.302
278.07,14.19,0.489,48.32,0.148,0.278,7.667,294.36,22.41,1.303,59.405
259.48,19.45,0.481,57.79,0.435,0.698,5.705,291.35,129.99,2.033,80.249
127.64,15.1,0.593,60.46,0.269,0.338,9.912,298.66,42.53,2.334,24.543
963.75,12.85,0.251,55.85,0.275,0.688,7.819,300.03,40.07,2.334,100.479
199.16,18.36,0.47,85.0,0.335,0.616,6.008,300.7,87.47,2.418,65.573
230.42,22.25,0.636,38.78,0.289,0.166,8.51,298.51,125.59,1.011,58.032
367.32,13.22,0.506,56.54,0.506,0.519,5.086,300.4,149.09,1.956,89.16
82.81,20.98,0.49,58.9,0.214,0.272,9.595,289.67,62.83,2.097,28.465
91.52,17.37,0.537,72.22,0.194,0.141,3.581,300.13,11.46,2.636,18.274
